MSE,R_cellwise,R_cellwise_residuals,Model,Time
1.795264482498169,0.8906934857368469,0.3336037397384643,baseline_rnaseq,20241206_19:25
1.9773679971694944,0.874747633934021,0.238709807395935,baseline_proteomics,20241206_19:26
2.400241613388061,0.866647481918335,0.0938730910420417,baseline_mutations,20241206_19:26
2.2438533306121826,0.868510901927948,0.1678710877895355,baseline_methylations,20241206_19:26
2.2309958934783936,0.8681628704071045,0.1384337097406387,baseline_cnvs,20241206_19:26
1.810337781906128,0.8862298727035522,0.3206719160079956,baseline_concat,20241206_19:26
1.6461766958236694,0.8975447416305542,0.3270308971405029,baseline_ensemble,20241206_19:26
1.8821817636489868,0.8842520117759705,0.2651349008083343,encoder_sub-network,20241206_19:27
2.265148878097534,0.8763315677642822,-0.0112259611487388,auto-resnet-chain-sim,20250314_02:16
1.5947002172470093,0.8947927355766296,0.3000485599040985,auto-resnet-chain-raw,20250314_02:23
2.1726317405700684,0.8805872201919556,-0.0120525723323225,auto-resnet-sim,20250314_02:53
1.630138874053955,0.8918101787567139,0.2801799774169922,auto-resnet-chain-raw,20250314_03:15
1.796517848968506,0.8898184895515442,0.3322998583316803,rnaseq,20250314_15:22
1.628868579864502,0.8921878933906555,0.2779034972190857,auto-resnet-chain-raw,20250314_15:44
2.43997573852539,0.8623369932174683,0.0943341478705406,baseline_mutations,20250314_16:09
2.151282787322998,0.8703894019126892,0.1945646703243255,baseline_methylations,20250314_16:09
2.017405271530152,0.8755450248718262,0.2574436068534851,baseline_proteomics,20250314_16:10
1.7653961181640625,0.8877608776092529,0.3331907987594604,baseline_concat,20250314_16:14
1.876814365386963,0.8840179443359375,0.2860066592693329,encoder_sub-network,20250314_17:00
1.579046607017517,0.8988288044929504,0.3200768232345581,auto-resnet-raw,20250314_18:13
1.6214100122451782,0.8928560018539429,0.2811422646045685,auto-resnet-chain-raw0.4,20250314_19:43
1.628600835800171,0.8919739723205566,0.2727808356285095,auto-resnet-chain-raw0.6,20250314_20:27
1.64602530002594,0.8915109634399414,0.2684895992279053,auto-resnet-chain-raw0.7,20250314_21:14
