drug_id,model1,model2,t_stat,p_value
48.0,ar,arc,-0.6496490872491978,0.5210319084024979
49.0,con,ens,1.0396838699951192,0.3070778783277244
49.0,con,esn,0.8736223210357319,0.3895011025759343
49.0,con,ar,0.17294396802951523,0.8638968977558229
49.0,con,arc,0.3793188861636725,0.7072144830810321
49.0,ens,esn,-0.09389467395390354,0.9258385588519111
49.0,ens,ar,-1.0760832552431308,0.29076120028095
49.0,ens,arc,-1.5279071365608061,0.13737045170410297
49.0,esn,ar,-0.7892094200129035,0.4363948241703046
49.0,esn,arc,-0.7707154192077464,0.44710963199011966
49.0,ar,arc,0.31302310720580007,0.7565032649604551
51.0,con,ens,0.5932213788565542,0.5576316295391909
51.0,con,esn,-0.12421702652020428,0.902000454225661
51.0,con,ar,1.4806222724673632,0.1494909211704448
51.0,con,arc,0.6372422442689106,0.5289662393605397
51.0,ens,esn,-0.7349369230853898,0.4682799127446913
51.0,ens,ar,1.5204207047094902,0.13923458545856432
51.0,ens,arc,0.189373780921706,0.8511190823227641
51.0,esn,ar,1.5857228936808692,0.1236476234399137
51.0,esn,arc,0.7584337798388036,0.45431145269028916
51.0,ar,arc,-2.4069355559108265,0.022679506821711323
52.0,con,ens,0.764224242550865,0.44737743099063887
52.0,con,esn,-0.8702949846241501,0.3872011428560833
52.0,con,ar,0.6880612271118164,0.4937547727103908
52.0,con,arc,-0.1996533670688947,0.8423475288801813
52.0,ens,esn,-1.8408521320750997,0.07000616958891039
52.0,ens,ar,-0.21214715958921765,0.8326268501544026
52.0,ens,arc,-2.3760631983846614,0.020321539636337788
52.0,esn,ar,1.6966834010306533,0.09432995148864069
52.0,esn,arc,0.6881768536105874,0.49368242423033515
52.0,ar,arc,-2.231484237345115,0.028949008204724326
53.0,con,ens,1.0862451096979162,0.2812632690533901
53.0,con,esn,2.0653886824523493,0.04275799691303929
53.0,con,ar,0.3400853771484007,0.7348561488487668
53.0,con,arc,1.030325028012055,0.3065625734438156
53.0,ens,esn,1.3156209870490516,0.19278551707081276
53.0,ens,ar,-0.782738845423689,0.4365383861196557
53.0,ens,arc,0.08131546423836666,0.9354334997665892
53.0,esn,ar,-1.648871768341199,0.10385549165960158
53.0,esn,arc,-1.2359318177833944,0.22079961099666287
53.0,ar,arc,0.8931939612496872,0.374950390019835
54.0,con,ens,1.1266045074865962,0.26381266340689313
54.0,con,esn,2.2164821606343996,0.02995778552907455
54.0,con,ar,0.8734748779668217,0.3854341297824907
54.0,con,arc,1.1267205909080655,0.2637639057092069
54.0,ens,esn,1.89911957493241,0.06173007903882093
54.0,ens,ar,0.10753994854148946,0.9146727215370589
54.0,ens,arc,0.41293984473853373,0.6809310997094236
54.0,esn,ar,-1.499947695916874,0.13818991890082524
54.0,esn,arc,-1.3754794077617332,0.17343199645331706
54.0,ar,arc,0.5583969648483877,0.5783809126166637
55.0,con,ens,1.6330647468648973,0.10707768550782659
55.0,con,esn,0.670424022790271,0.5048581449295624
55.0,con,ar,1.1759567779313962,0.243712813913142
